cuda:0
bitflip_projchi
privacy level = 0.5
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 2000
tensor(10.1048, device='cuda:0')
pval: 0.017000000923871994 -- 1th test, time elapsed 16.80440902709961 -- emperical power so far: 1.0
tensor(2.1607, device='cuda:0')
pval: 0.5480000376701355 -- 2th test, time elapsed 3.3577096462249756 -- emperical power so far: 0.5
tensor(7.9129, device='cuda:0')
pval: 0.046000003814697266 -- 3th test, time elapsed 3.380927801132202 -- emperical power so far: 0.6666666666666666
tensor(8.2667, device='cuda:0')
pval: 0.04000000283122063 -- 4th test, time elapsed 3.3749139308929443 -- emperical power so far: 0.75
tensor(1.2012, device='cuda:0')
pval: 0.7600000500679016 -- 5th test, time elapsed 3.3266477584838867 -- emperical power so far: 0.6
tensor(4.3688, device='cuda:0')
pval: 0.22600001096725464 -- 6th test, time elapsed 3.3432202339172363 -- emperical power so far: 0.5
tensor(0.6068, device='cuda:0')
pval: 0.9010000228881836 -- 7th test, time elapsed 3.373708724975586 -- emperical power so far: 0.42857142857142855
tensor(0.8124, device='cuda:0')
pval: 0.8420000672340393 -- 8th test, time elapsed 3.3215527534484863 -- emperical power so far: 0.375
tensor(1.4996, device='cuda:0')
pval: 0.6740000247955322 -- 9th test, time elapsed 3.365190029144287 -- emperical power so far: 0.3333333333333333
tensor(2.0403, device='cuda:0')
pval: 0.5590000152587891 -- 10th test, time elapsed 3.3412673473358154 -- emperical power so far: 0.3
tensor(1.9568, device='cuda:0')
pval: 0.5670000314712524 -- 11th test, time elapsed 3.3541417121887207 -- emperical power so far: 0.2727272727272727
tensor(12.2247, device='cuda:0')
pval: 0.009000000543892384 -- 12th test, time elapsed 3.3821191787719727 -- emperical power so far: 0.3333333333333333
tensor(0.6393, device='cuda:0')
pval: 0.9080000519752502 -- 13th test, time elapsed 3.34788179397583 -- emperical power so far: 0.3076923076923077
tensor(6.1116, device='cuda:0')
pval: 0.1120000034570694 -- 14th test, time elapsed 3.3618710041046143 -- emperical power so far: 0.2857142857142857
tensor(2.6465, device='cuda:0')
pval: 0.4400000274181366 -- 15th test, time elapsed 3.3653371334075928 -- emperical power so far: 0.26666666666666666
tensor(4.9210, device='cuda:0')
pval: 0.17500001192092896 -- 16th test, time elapsed 3.377314567565918 -- emperical power so far: 0.25
tensor(2.1620, device='cuda:0')
pval: 0.5420000553131104 -- 17th test, time elapsed 3.412005662918091 -- emperical power so far: 0.23529411764705882
tensor(4.3538, device='cuda:0')
pval: 0.2200000137090683 -- 18th test, time elapsed 3.436758518218994 -- emperical power so far: 0.2222222222222222
tensor(0.8090, device='cuda:0')
pval: 0.8570000529289246 -- 19th test, time elapsed 3.3323633670806885 -- emperical power so far: 0.21052631578947367
tensor(5.0658, device='cuda:0')
pval: 0.1550000011920929 -- 20th test, time elapsed 3.4046621322631836 -- emperical power so far: 0.2
tensor(3.1180, device='cuda:0')
pval: 0.3680000305175781 -- 21th test, time elapsed 3.3646585941314697 -- emperical power so far: 0.19047619047619047
tensor(1.9311, device='cuda:0')
pval: 0.6000000238418579 -- 22th test, time elapsed 3.3809523582458496 -- emperical power so far: 0.18181818181818182
tensor(6.3013, device='cuda:0')
pval: 0.10200000554323196 -- 23th test, time elapsed 3.338549852371216 -- emperical power so far: 0.17391304347826086
tensor(4.2515, device='cuda:0')
pval: 0.23400001227855682 -- 24th test, time elapsed 3.363016128540039 -- emperical power so far: 0.16666666666666666
tensor(3.6863, device='cuda:0')
pval: 0.28300002217292786 -- 25th test, time elapsed 3.388765573501587 -- emperical power so far: 0.16
tensor(4.8043, device='cuda:0')
pval: 0.1980000138282776 -- 26th test, time elapsed 3.3233885765075684 -- emperical power so far: 0.15384615384615385
tensor(5.6674, device='cuda:0')
pval: 0.1340000033378601 -- 27th test, time elapsed 3.375939130783081 -- emperical power so far: 0.14814814814814814
tensor(6.2095, device='cuda:0')
pval: 0.09000000357627869 -- 28th test, time elapsed 3.4118306636810303 -- emperical power so far: 0.14285714285714285
tensor(9.5430, device='cuda:0')
pval: 0.02800000086426735 -- 29th test, time elapsed 3.3848752975463867 -- emperical power so far: 0.1724137931034483
tensor(9.1059, device='cuda:0')
pval: 0.024000000208616257 -- 30th test, time elapsed 3.37893009185791 -- emperical power so far: 0.2
tensor(0.3090, device='cuda:0')
pval: 0.9650000333786011 -- 31th test, time elapsed 3.450117349624634 -- emperical power so far: 0.1935483870967742
tensor(5.3871, device='cuda:0')
pval: 0.17400000989437103 -- 32th test, time elapsed 3.410059690475464 -- emperical power so far: 0.1875
tensor(1.9943, device='cuda:0')
pval: 0.5700000524520874 -- 33th test, time elapsed 3.3111319541931152 -- emperical power so far: 0.18181818181818182
tensor(1.3849, device='cuda:0')
pval: 0.6980000138282776 -- 34th test, time elapsed 3.2728257179260254 -- emperical power so far: 0.17647058823529413
tensor(3.1312, device='cuda:0')
pval: 0.3790000081062317 -- 35th test, time elapsed 3.2636032104492188 -- emperical power so far: 0.17142857142857143
